Address,City,State,Zipcode,Name,Group
1000 5th Ave,New York,NY,10028,Metropolitan Museum of Art,Museum
1071 5th Ave,New York,NY,10128,Solomon R Guggenheim Museum,Museum
200 Central Park West,New York,NY,10024,American Museum of Natural History,Museum
99 Gansevoort St,New York,NY,10014,Whitney Museum of American Art,Museum
225 Madison Ave,New York,NY,10016,Morgan Library & Museum,Museum
180 Greenwich St,New York,NY,10007,National September 11 Memorial Museum,Museum
103 Orchard St,New York,NY,10002,Tenement Museum,Museum
476 5th Ave,New York,NY,10018,New York Public Library - Stephen A. Schwarzman Building,Explore
20 W 34th St,New York,NY,10001,Empire State Building,Explore
New York,,,,42nd Street (Manhattan),Explore
Manhattan,,,,Times Sqaure,Explore
New York,,,,The Brooklyn Bridge,Explore
East 64th Street,New York,NY,10021,Central Park Zoo,Explore
,,,,Central Park,Explore
New York,,,,Walk the High Line,Explore
New York,,,,Statue of Liberty & Liberty Island,Explore
,,,,Ellis Island,Explore
5th Ave,New York,NY,10022,St. Patrick’s Cathedral,Explore
,,,,South Street Seaport,Explore
,,,,Rockefeller Center -Top of the Rock,Explore
75 9th Ave,New York,NY,10011,Chelsea Market,Explore
New York,,,,Chinatown,Explore
89 E 42nd St,New York,NY,10017,Grand Central Terminal,Explore
,,,,The Battery,Explore
,,,,Staten Island Ferry,Explore
,,,,Veselka,Food
,,,,Trinity Church,Explore
,,,,Federal Hall National Memorial,Museum
,,,,Ghost tour of Greenwich Village,Explore
,,,,Soho and Brooklyn Walking Tour,Explore
,,,,Chrysler Building,Explore
,,,,Flatiron Building ,Explore
,,,,Macy's Herald Square,Explore
,,,,Rockefeller Center Christmas Tree,Explore
,,,,See a Broadway Show,Explore
,,,,Bright Lights of Brooklyn,Explore
,,,,Holiday Windows on Fifth Avenue,Explore
,,,,Shop at the Union Square Holiday Market,Explore
,,,,Indoor Brooklyn Flea,Explore
,,,,New York Botanical Garden’s Holiday Train Show,Explore
,,,,Sip High Tea at the Russian Tea Room,Food
,,,,Ball Drop in Times Square,Explore
,,,,Sip Hot Chocolate at Dominique Ansel Bakery,Food
,,,,Tompkins Square Bagels; East Village,Food
,,,,Original Halal Guys,Food
,,,,Absolute Bagels,Food
,,,,Junior's Restaurant Cheesecake,Food
,,,,Los Tacos No. 1,Food
,,,,Magnolia Bakery 's Banana pudding,Food
,,,,Bryant Park,Explore
,,,,Metropolitan Opera House,Attraction
,,,,Museum of Modern Art,Museum
